RANDOM_SECTION,Avg_P1,Avg_P2,Avg_P3,Avg_Sum_P,Avg_Election_Time,Term_Distribution_ACMLT
37,9.099186692858789,9.538697405931408,7.133330600200966,25.77121469899114,2192.8477618378506,"[0, 0, 0, 1822, 163, 13, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
38,9.193053714799971,9.895712210454699,7.382500090503102,26.471266015757855,2194.836150718774,"[0, 0, 0, 1817, 164, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,8.994091345946334,9.89260572810137,7.452191735189596,26.33888880923729,2201.3010770687674,"[0, 0, 0, 1798, 190, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
40,9.512974710325702,10.418837375279155,7.389512241925951,27.32132432753082,2223.9468231255382,"[0, 0, 0, 1770, 204, 23, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
41,9.70083309602445,10.582173619486586,7.380104081983606,27.663110797494582,2216.478291036085,"[0, 0, 0, 1774, 207, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
42,9.57819292348519,10.755417888903782,7.49868116807164,27.83229198046055,2220.940394382367,"[0, 0, 0, 1771, 201, 26, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
43,9.648669064796872,10.971089866579886,7.565053291080958,28.184812222457698,2233.011379722594,"[0, 0, 0, 1748, 227, 21, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
44,9.706969385878079,11.244930210820476,7.616175276009348,28.5680748727079,2236.3775643933386,"[0, 0, 0, 1747, 220, 30, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
45,9.922259969662136,11.706178224941153,7.523137174820673,29.151575369423938,2243.6564386242862,"[0, 0, 0, 1730, 241, 23, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
46,10.120620199789967,11.700471775852659,7.800468154995985,29.621560130638695,2231.1052628625407,"[0, 0, 0, 1751, 220, 26, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
47,10.344602926907054,12.034002343019473,7.988751445036663,30.367356714963165,2242.9184261157925,"[0, 0, 0, 1730, 236, 32, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
48,10.500523495985012,12.529329046365573,8.024118729532058,31.053971271882602,2258.6909705763123,"[0, 0, 0, 1718, 238, 34, 9, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
49,10.47742865672338,12.43516826999331,7.719637743548306,30.632234670265,2283.9437049379644,"[0, 0, 0, 1667, 287, 39, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
50,10.282575447435953,12.905823384923153,7.798455021305189,30.986853853664222,2245.2360424898084,"[0, 0, 0, 1723, 246, 26, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
